TimeStamp,Coin Name,Price,Volume,Gain,Loss,Average Gains,Average Loss,Relative Strength,RSI
2021-06-08 16:28:36,Binance Coin,234.5021,3179988.81,,,,,,
2021-06-08 16:28:44,Binance Coin,234.403,3179749.081,0.0,0.0991000000000212,,,,
2021-06-08 16:28:51,Binance Coin,234.418,3179838.021,0.01500000000001478,0.0,,,,
