TimeStamp,Coin Name,Price,Volume,Gain,Loss,Average Gains,Average Loss,Relative Strength,RSI
2021-01-19 18:33:51,EOS,2.8844,31585424.78,0.0002999999999997,0.0,0.0004642857142856,0.0030999999999999,0.1497695852534408,13.026052104207253
2021-01-19 19:15:14,EOS,2.8615,31958893.72,0.0,0.0228999999999999,0.0003499999999999,0.0047357142857142,0.0739064856711832,6.882022471909394
2021-01-19 19:15:24,EOS,2.8634,31965369.61,0.0019,0.0,0.0004857142857142,0.0019071428571428,0.2546816479400557,20.29850746268535
2021-01-19 19:17:38,EOS,2.8678,31974546.01,0.0043999999999999,0.0,0.0007142857142856,0.0019071428571428,0.3745318352059801,27.2479564032691
2021-01-19 19:17:50,EOS,2.8669,31976453.95,0.0,0.0009000000000001,0.0007142857142856,0.0018785714285714,0.3802281368821128,27.548209366390324
2021-03-08 16:22:45,EOS,3.8418,22302269.86,0.9749000000000004,0.0,0.0702214285714285,0.0018785714285714,37.380228136882415,97.39449177729348
2021-03-08 16:22:52,EOS,3.8414,22302691.84,0.0,0.0003999999999999,0.0702,0.0019071428571428,36.80898876404528,97.3551263001486
2021-03-08 16:22:59,EOS,3.8413,22302467.0,0.0,0.0001000000000002,0.0701928571428571,0.0019142857142857,36.66791044776131,97.34522040614166
2021-03-08 16:23:06,EOS,3.8417,22302378.27,0.0003999999999999,0.0,0.0701642857142857,0.0019142857142857,36.652985074627,97.34416807055791
2021-03-08 16:23:13,EOS,3.8417,22299256.83,0.0,0.0,0.0701642857142856,0.0018785714285714,37.34980988593183,97.39242514376365
2021-03-08 16:23:21,EOS,3.841,22299827.71,0.0,0.0006999999999997,0.0701357142857142,0.0019285714285713,36.366666666667335,97.32381801962538
2021-03-08 16:28:36,EOS,3.8501,22354870.64,0.0090999999999996,0.0,0.0707857142857142,0.0018999999999999,37.2556390977449,97.3860062893082
2021-03-08 16:28:44,EOS,3.8491,22355475.42,0.0,0.0009999999999998,0.0707857142857142,0.0019714285714285,35.90579710144992,97.29039858629496
2021-03-08 16:28:51,EOS,3.8466,22355770.72,0.0,0.0024999999999999467,0.07078571428571424,0.002035714285714253,34.77192982456194,97.20451201569401
