TimeStamp,Coin Name,Price,Volume,Gain,Loss,Average Gains,Average Loss,Relative Strength,RSI
2021-01-19 18:33:51,Cardano,0.38005,576643321.6,4.999999999999449e-05,0.0,0.0003428571428571,4.928571428569953e-05,6.956521739131835,87.43169398907325
2021-01-19 19:15:14,Cardano,0.37532,572422643.2,0.0,0.00473,0.0003157142857142,0.0003871428571428,0.8154981549815106,44.91869918699068
2021-01-19 19:15:24,Cardano,0.37599,572638661.3,0.00067,0.0,0.0001357142857142,0.0003871428571428,0.350553505535001,25.956284153002485
2021-01-19 19:17:38,Cardano,0.37581,572063157.4,0.0,0.00018,0.0001242857142856,0.0003999999999999,0.310714285714248,23.705722070842484
2021-01-19 19:17:50,Cardano,0.37588,572045321.5,7.00000000000145e-05,0.0,0.0001078571428571,0.0003999999999999,0.2696428571428392,21.237693389591
2021-03-08 16:22:45,Cardano,1.1245,388009886.2,0.7486200000000001,0.0,0.0535807142857142,0.0003921428571428,136.63570127504818,99.27344432386651
2021-03-08 16:22:52,Cardano,1.12428,388058037.1,0.0,0.0002200000000001,0.0535807142857142,0.0003964285714285,135.15855855855605,99.26556214270587
2021-03-08 16:22:59,Cardano,1.12456,388057410.3,0.00028,0.0,0.0536007142857142,0.0003921428571428,136.68670309653697,99.2737134541606
2021-03-08 16:23:06,Cardano,1.12485,388054754.9,0.0002899999999999,0.0,0.0536149999999999,0.0003921428571428,136.72313296903235,99.27390556804654
2021-03-08 16:23:13,Cardano,1.12464,388043980.2,0.0,0.0002099999999998,0.0536149999999999,0.0003999999999999,134.0375000000018,99.25946496343607
2021-03-08 16:23:21,Cardano,1.12417,388055563.1,0.0,0.0004700000000001,0.0536149999999999,0.000415,129.19277108433525,99.2319081991486
2021-03-08 16:28:36,Cardano,1.12282,388357121.9,0.0,0.0013499999999999,0.0535964285714285,0.0005114285714285,104.79748603352006,99.05479795646262
2021-03-08 16:28:44,Cardano,1.12299,388375481.1,0.00017,0.0,0.0535899999999999,0.0005114285714285,104.78491620111876,99.05468564336827
2021-03-08 16:28:51,Cardano,1.12305,388378171.8,6.000000000017103e-05,0.0,0.053586428571428577,0.0005114285714285643,104.77793296089533,99.05462323567082
