TimeStamp,Coin Name,Price,Volume,Gain,Loss,Average Gains,Average Loss,Relative Strength,RSI
2021-01-19 18:33:43,Polkadot,16.8152,25562732.58,0.0055000000000013,0.0,0.0037214285714284,0.003785714285714,0.9830188679245632,49.57183634633771
2021-01-19 18:33:51,Polkadot,16.8155,25562336.81,0.0002999999999993,0.0,0.0031857142857141,0.003785714285714,0.8415094339622857,45.69672131147605
2021-01-19 19:15:14,Polkadot,16.4343,25845904.51,0.0,0.3811999999999997,0.0027571428571427,0.0310142857142854,0.0888991248272657,8.164128595600431
2021-01-19 19:17:38,Polkadot,16.4957,25828879.58,0.061399999999999,0.0,0.0071428571428569,0.0286857142857141,0.2490039840637399,19.93620414673013
2021-01-19 19:17:50,Polkadot,16.4477,25839970.72,0.0,0.0479999999999982,0.0064928571428569,0.0321142857142854,0.2021797153024869,16.81776133209962
2021-03-08 16:22:45,Polkadot,34.179,6866259.52,17.7313,0.0,1.2723642857142856,0.0321142857142854,39.61988434163733,97.53815153290589
2021-03-08 16:22:52,Polkadot,34.2263,6868055.52,0.0472999999999999,0.0,1.2757142857142856,0.0321142857142854,39.72419928825654,97.5444575523223
2021-03-08 16:22:59,Polkadot,34.2368,6868413.24,0.0105000000000003,0.0,1.2760571428571428,0.0321142857142854,39.73487544484017,97.54510112261391
2021-03-08 16:23:06,Polkadot,34.218,6868646.23,0.0,0.0187999999999988,1.2760571428571428,0.0334571428571425,38.14005123825829,97.44507232779875
2021-03-08 16:23:13,Polkadot,34.2169,6871177.77,0.0,0.0011000000000009,1.2760571428571428,0.0333142857142854,38.303602058319335,97.45570393645808
2021-03-08 16:23:21,Polkadot,34.1936,6871232.31,0.0,0.0232999999999989,1.2758357142857142,0.034978571428571,36.47478047784392,97.33153873818894
2021-03-08 16:28:36,Polkadot,34.2729,6900494.94,0.0792999999999963,0.0,1.2814999999999996,0.0347285714285711,36.90045248868805,97.36150907354347
2021-03-08 16:28:44,Polkadot,34.2359,6901254.58,0.0,0.036999999999999,1.2814999999999996,0.0363857142857139,35.21986650961946,97.239084247496
2021-03-08 16:28:51,Polkadot,34.2749,6901402.17,0.03900000000000148,0.0,1.2838999999999998,0.036385714285713966,35.28582646250521,97.24410300800695
